Wed Nov 30 03:40:08 2022    output.dat

         3241988 function calls (3236178 primitive calls) in 47.179 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      519    0.006    0.000    0.017    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\ui_manager.py:192(process_events)
     4458    0.006    0.000    0.008    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\ntpath.py:124(splitdrive)
     3568    0.006    0.000    0.009    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\drawable_shapes\drawable_shape.py:297(update)
     1001    0.005    0.000    0.257    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Game.py:123(goToNextStage)
      784    0.005    0.000    0.135    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\GameMap.py:105(attackEnemyTerritory)
     1784    0.005    0.000   20.385    0.011 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Window.py:10(showMap)
        5    0.005    0.001    0.005    0.001 {built-in method _imp.create_dynamic}
     3372    0.005    0.000    0.010    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\random.py:292(randrange)
     1784    0.005    0.000    0.011    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\sprite.py:423(__iter__)
     1784    0.004    0.000    0.494    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\GameUI.py:57(drawGUI)
       47    0.004    0.000    0.004    0.000 {built-in method marshal.loads}
     1784    0.004    0.000    0.010    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\ui_manager.py:550(_update_mouse_position)
    12082    0.004    0.000    0.004    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:233(__next)
     1956    0.004    0.000    0.006    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\GameMap.py:31(getHostileTerritoryNeighbours)
     1784    0.004    0.000    0.016    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\elements\ui_button.py:300(update)
     1784    0.004    0.000    0.490    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\ui_manager.py:326(draw_ui)
