Wed Nov 30 03:40:08 2022    output.dat

         3241988 function calls (3236178 primitive calls) in 47.179 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4606    0.008    0.000    0.010    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\sprite.py:1001(get_sprites_from_layer)
     4585    0.001    0.000    0.001    0.000 {method 'getrandbits' of '_random.Random' objects}
     4518    0.002    0.000    0.002    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:164(__getitem__)
     4458    0.006    0.000    0.008    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\ntpath.py:124(splitdrive)
     4231    0.001    0.000    0.001    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Territory.py:18(getNonDefendingTroops)
     3799    0.001    0.000    0.009    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\GameMap.py:72(<genexpr>)
     3568    0.011    0.000    0.018    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\ui_element.py:702(check_hover)
     3568    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\drawable_shapes\drawable_shape.py:50(update)
     3568    0.006    0.000    0.009    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\drawable_shapes\drawable_shape.py:297(update)
     3568    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\drawable_shapes\drawable_shape.py:426(has_fresh_surface)
     3555    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
     3372    0.003    0.000    0.004    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\random.py:239(_randbelow_with_getrandbits)
     3372    0.005    0.000    0.010    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\random.py:292(randrange)
     3372    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
     3330    0.002    0.000    0.011    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\random.py:366(randint)
     3306    0.001    0.000    0.001    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Dealer.py:158(<genexpr>)
     2817    0.000    0.000    0.000    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\IA.py:79(<lambda>)
     2580    0.460    0.000    0.460    0.000 {built-in method builtins.print}
2552/2548    0.001    0.000    0.003    0.000 {method 'join' of 'str' objects}
     2392    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:249(match)
     2303    0.007    0.000    0.012    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\sprite.py:902(layers)
     2303    0.001    0.000    0.001    0.000 {method 'values' of 'dict' objects}
     2303    0.003    0.000    0.003    0.000 {built-in method pygame.mouse.get_pos}
     2271    0.008    0.000    0.223    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\IA.py:19(set_border_countries)
     2202    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     2174    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\sysfont.py:51(<genexpr>)
     2016    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     1998    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
     1956    0.001    0.000    0.001    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Territory.py:24(canAttack)
     1956    0.004    0.000    0.006    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\GameMap.py:31(getHostileTerritoryNeighbours)
     1956    0.002    0.000    0.007    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\GameMap.py:90(isHostileNeighbour)
     1936    0.001    0.000    0.002    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Territory.py:39(loseTroops)
     1892    0.001    0.000    0.001    0.000 {built-in method builtins.any}
     1890    0.000    0.000    0.000    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\IA.py:112(<lambda>)
     1835    0.003    0.000    0.010    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\ntpath.py:77(join)
     1800    0.001    0.000    0.001    0.000 {built-in method builtins.iter}
     1791    0.003    0.000    0.003    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\ui_manager.py:556(calculate_scaled_mouse_position)
     1784    0.006    0.000    1.100    0.001 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Game.py:249(onLoop)
     1784    0.380    0.000   45.329    0.025 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Game.py:273(onRender)
     1784    0.002    0.000    0.002    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\cursors.py:100(__eq__)
     1784    0.002    0.000    0.004    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\cursors.py:103(__ne__)
     1784    0.005    0.000    0.011    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\sprite.py:423(__iter__)
     1784    0.009    0.000    0.038    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\sprite.py:529(update)
     1784    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\sprite.py:834(sprites)
     1784    0.005    0.000   20.385    0.011 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Window.py:10(showMap)
     1784    0.004    0.000    0.494    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\GameUI.py:57(drawGUI)
     1784    0.016    0.000    0.192    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\ui_manager.py:235(update)
     1784    0.017    0.000    0.093    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\ui_manager.py:302(_handle_hovering)
     1784    0.004    0.000    0.490    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\ui_manager.py:326(draw_ui)
     1784    0.004    0.000    0.010    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\ui_manager.py:550(_update_mouse_position)
     1784    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\ui_manager.py:589(set_text_input_hovered)
     1784    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\ui_appearance_theme.py:98(check_need_to_rebuild_data_manually_changed)
     1784    0.004    0.000    0.008    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\ui_appearance_theme.py:148(update_caching)
     1784    0.003    0.000    0.005    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\surface_cache.py:44(update)
     1784    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\ui_element.py:763(can_hover)
     1784    0.003    0.000    0.486    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\layered_gui_group.py:265(draw)
     1784    0.007    0.000    0.045    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\layered_gui_group.py:271(update)
     1784    0.002    0.000    0.002    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\elements\ui_button.py:229(can_hover)
     1784    0.004    0.000    0.016    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\elements\ui_button.py:300(update)
     1784    0.003    0.000    0.008    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\elements\ui_selection_list.py:165(update)
     1784    0.009    0.000    0.009    0.000 {method 'tick' of 'Clock' objects}
     1784    0.483    0.000    0.483    0.000 {method 'blits' of 'pygame.Surface' objects}
     1784    0.112    0.000    0.112    0.000 {built-in method pygame.event.get}
     1784    0.603    0.000    0.603    0.000 {built-in method pygame.display.flip}
     1699    0.001    0.000    0.001    0.000 {built-in method builtins.all}
     1698    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     1632    0.000    0.000    0.000    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\IA.py:35(<lambda>)
     1632    0.000    0.000    0.000    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\IA.py:121(<lambda>)
     1625    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
     1596    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:98(_compare)
     1590    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
     1568    0.003    0.000    0.012    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\GameMap.py:70(rollDices)
     1568    0.001    0.000    0.001    0.000 {method 'sort' of 'list' objects}
     1557    0.000    0.000    0.000    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\ui_element.py:797(process_event)
     1540    0.000    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:160(__len__)
     1471    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
     1471    0.007    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
     1448    0.000    0.000    0.000    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\GameMap.py:29(<lambda>)
     1364    0.038    0.000    0.038    0.000 {built-in method nt.stat}
     1326    0.000    0.000    0.000    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:282(<genexpr>)
     1270    0.001    0.000    0.012    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\__init__.py:2067(dist_factory)
  1234/32    0.001    0.000    0.002    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\GameMap.py:37(canMoveTroopsBetweenFriendlyTerriroriesAux)
     1215    0.001    0.000    0.001    0.000 {built-in method sys.intern}
 1202/100    0.001    0.000    0.002    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\GameMap.py:44(<lambda>)
     1194    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
     1183    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
     1178    0.000    0.000    0.000    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Territory.py:33(gainTroops)
     1172    0.003    0.000    0.144    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\GameMap.py:119(attackEnemyTerritoryBlitz)
     1126    0.001    0.000    0.006    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\__init__.py:2044(<genexpr>)
     1086    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FF8DF50B920}
     1064    0.000    0.000    0.000    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:84(<lambda>)
     1064    0.000    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:82(__eq__)
     1059    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:172(append)
     1038    0.002    0.000    0.002    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\ui_manager.py:211(<listcomp>)
     1037    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
     1014    0.000    0.000    0.000    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:420(_parse_letter_version)
     1001    0.005    0.000    0.257    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Game.py:123(goToNextStage)
      946    0.000    0.000    0.000    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:286(tell)
      946    0.000    0.000    0.000    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\__init__.py:2095(__bool__)
      909    0.000    0.000    0.002    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\__init__.py:2344(_normalize_cached)
      888    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      838    0.003    0.000    0.007    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:271(__init__)
      838    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
      784    0.000    0.000    0.000    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Territory.py:27(hasAliveTroops)
      784    0.001    0.000    0.013    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\GameMap.py:80(rollDicesForAttackerAndDefender)
      784    0.003    0.000    0.004    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\GameMap.py:93(getSuccessfullAttacks)
      784    0.005    0.000    0.135    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\GameMap.py:105(attackEnemyTerritory)
  770/175    0.001    0.000    0.002    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:174(getwidth)
      753    0.000    0.000    0.000    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\ntpath.py:34(_get_bothseps)
      753    0.000    0.000    0.000    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:111(__init__)
      732    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      712    0.000    0.000    0.000    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\IA.py:70(<lambda>)
      690    0.000    0.000    0.000    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:314(<genexpr>)
   667/63    0.003    0.000    0.009    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:71(_compile)
      662    0.001    0.000    0.014    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:48(parse)
      627    0.002    0.000    0.004    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\ntpath.py:180(split)
      618    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      573    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      573    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      567    0.000    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\__init__.py:2635(key)
      532    0.000    0.000    0.000    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:76(<lambda>)
      532    0.000    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:74(__lt__)
      525    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      523    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      519    0.003    0.000    0.060    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Game.py:198(onEvent)
      519    0.006    0.000    0.017    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\ui_manager.py:192(process_events)
      519    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\elements\ui_button.py:321(process_event)
      519    0.000    0.000    0.000    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\elements\ui_selection_list.py:394(process_event)
      500    0.000    0.000    0.009    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:107(__init__)
      500    0.003    0.000    0.009    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:205(_legacy_cmpkey)
      500    0.001    0.000    0.001    0.000 {method 'split' of 're.Pattern' objects}
      491    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      479    0.001    0.000    0.002    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\ntpath.py:203(splitext)
      479    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\genericpath.py:121(_splitext)
      471    0.000    0.000    0.000    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\copyreg.py:100(__newobj__)
      471    0.000    0.000    0.003    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1167(copy)
      471    0.001    0.000    0.003    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\copy.py:66(copy)
      471    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\copy.py:259(_reconstruct)
      471    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
      468    0.000    0.000    0.000    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2153(__str__)
      464    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      459    0.001    0.000    0.013    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\genericpath.py:39(isdir)
      458    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
      456    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      432    0.000    0.000    0.000    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:490(<lambda>)
      407    0.000    0.000    0.000    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3581(<genexpr>)
   403/65    0.008    0.000    0.023    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:493(_parse)
      395    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      394    0.000    0.000    0.003    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\ntpath.py:221(dirname)
      394    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      387    0.038    0.000    0.038    0.000 {method 'fill' of 'pygame.Surface' objects}
      383    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      381    0.000    0.000    0.000    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Territory.py:30(colonize)
